item_id_2024,text_hash,text
1,be93853303843da342ec906149a6a6a4aa458090103ad49b039bd3aaa5d66af8,"O ano de 2024 representou uma democratização da inteligência artificial, com avanços significativos em jornalismo, educação e tecnologia. A combinação dessas áreas gerou impactos exponenciais, considerados por alguns quase sobrenaturais. (Leia a matéria inteira em: <URL>"
2,8d4f06fac7e13acf04581323b5aec04336c8736ef4c584fe959e3e8317c93b82,"A inteligência artificial na educação pode ser ferramenta de inclusão para professores e alunos, apesar dos desafios. Seu uso, porém, precisa ir além do suporte básico, requerendo um cenário mais favorável para sua plena implementação. (Leia a matéria inteira em: <URL>"
3,32be60c460fcd5a757f9d79ac9d20d578a184e257aa18be1c5c0a330e1543bde,"Livro sobre inteligência artificial na educação, intitulado ""Educação Mais Inteligente"", é sucesso de vendas. A obra aborda como empoderar professores, engajar alunos e revolucionar a aprendizagem na era da IA. (Leia a matéria inteira em: <URL>"
4,cdf55218d4375b82c85321851e696d1925c8340e8a477adde53c2f8a66f8cc84,obrigado inteligência artificial por ter conseguido responder essa pessoa infeliz com educação e profissionalismo que tanto defendo 🙏
5,66f26b60144abb5a836b56812a210ad10e2bcbe308158cf66ae9cf51aaec7cf6,"No passado dia 13 de novembro, a convite do CCV, dinamizei um webinar sobre a Inteligência Artificial na Educação. Podem (re)ver em: <URL>"
6,3bc3f551ddf7f0a34767bab4350f2b5603850aaef4fb330ad41a4c7a1c7d2a4f,PALAVRAS DOS BRASILEIROS.com.br: Inteligência Artificial vai destruir o futuro da educação? -JÁ DESTRUIU- É CERTO!!!!!!!!!!!!! <URL>
7,632e3452e929dcf252222856907761d335a46a3c61695a4f5a446dbfb9515c1e,"Quer aplicar conteúdos de inteligência artificial em sala de aula em 2025 e não sabe como? Nós podemos te ajudar! No nosso site, você encontra vários recursos totalmente gratuitos sobre o tema do momento. Acesse já: educamidia.org.br/educacao-mid..."
8,7f2abf6a64911df03adffd29b6c7ff056236b83f2badfcd7677a76af328423ce,Inteligência Artificial Generativa na Educação e Pesquisa - Desafio para as Universidades Públicas <USER> <URL>
9,48e7a224019fad00d69df6f981c03017c5f42f54f76e567ae35595c9dc951866,"PUC-Rio fará polo de Inteligência Artificial com doação – 11/12/2024 – Educação Isabela Palhares A PUC-Rio vai receber R$ 35 milhões, a maior doação individual desde a sua fundação, para a construção de um instituto de referência em ensino e pesquisa em inteligência artificial. A doação, que…"
10,7b67384a11f93eb49b255737d496a46bebd76fc6436e97cdc0c5b9a98125f148,"É pago? Sim. Mas considerando todo trabalho que realizei de divulgação científica e reflexões sobre a educação na época da pandemia, mais recentemente sobre Inteligência Artificial na Educação e sobre os outros temas que pesquiso e trabalho, é conteúdo que merece ser preservado +"
