item_id,applicability_score,text_hash,text
1,1.0,a2414c89271b6ce3426e35f4a8e2e6644b82ee721a7decfb3cb4d2dfb2333d0d,"Mafalda Rebordão, economista especializada em inteligência artificial, defende a educação como antídoto para o mau uso da tecnologia. Em Portugal, “é necessário mais risco”, diz."
2,1.0,bafba9396bcd6c025dc26934d29ee9ffa12f0095be1733a38ec1831df0284c6e,"Tumo: uma educação neoliberal Um dos aspetos mais interessantes que começa a perceber-se em relação à utilização da Inteligência Artificial na educação é que nos permite conceber dinâmicas pedagógicas ou modelos de aprendizagem muito inovadores e muito envolventes. O que sabemos, seguramente há…"
3,0.0,2beaa98fc6c8397fe5acf1719ba148d88cd78171641acefc3ed1476da64b9e57,Como preparar a geração da inteligência artificial? Saiba o que muda na educação
4,0.0,fc3901a6ea76e610216d964c2deefe4db8c9247d4a8badd5d1a85c8970aa7085,Como preparar a geração da inteligência artificial? Saiba o que muda na educação <URL> Posted into Tecnologia <USER>
5,1.0,1a12526343e3ee735f0b454580fe6a14a44f4b8a0ed890eb9d1a7f06365842df,Justificativa: Atualizar a educação brasileira para enfrentar os desafios da era da Inteligência Artificial e garantir inclusão e autonomia aos estudantes. <URL>
6,1.0,48b6d4e1fb39d90edc4c34955533c92b1631373e3532814813b6ec791a771ddb,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional - LDB), para incluir o tema Inteligência Artificial, literacia digital e ética algorítmica como componente curricular transversal obrigatório."
7,1.0,f3b0d6ec069e832365921eb736504a5703a0cfedb86f84fed99cc9ba731afc9b,"Propagando do Ministério da Educação é de uma indigência mental e intelectual sem precedente... Anunciando a dona nete nas escolas, uma colega incauta anuncia que faz um curso (EAD?) de ""inteligência artificial"". Será na Uni... ? Que miséria moral, espiritual, intelectual, metafísica e... política."
8,0.0,d4927870edc92314ea2fee5b222e2dd73aa800d5f05499d865494e767c9ced72,"jfborges.wordpress.com: Guia prático para a seleção de ferramentas de IA na educação Clicar na imagem para a ver maior… Este guia prático, da autoria de Med Kharbach, oferece aos professores uma estrutura sistemática para selecionar e implementar ferramentas de inteligência artificial no co..."
9,1.0,beb7ce3af7e77ad531da7f091f06fe1435103348ee0535445ab6afc983a2947a,Sinceramente a gente precisa urgentemente de educação sobre inteligencia artificial. Sobre como é uma coisa que sempre tivemos uma paixão nativa e como estamos num ponto ridículo de pavor causado por um bando de bilionário que só fala bosta. (Tô meio Atilla na pandemia mode com tudo isso).
10,1.0,36ff97d20b63ac08a041cc71c8397b929a39447a921a3686144eb3e0eacf8d18,"📢 Internacional da Educação lança pesquisa sobre impactos da Inteligência Artificial na educação pública A Campanha Nacional pelo Direito à Educação apoia a iniciativa da pesquisa. 🔗 Acesse e responda à pesquisa: mla.bs/291c6752 🗣️ Responda, compartilhe e participe!"
11,1.0,e2eae9abf8b90badf46fe34bc10b54d101983a900f2680167c4b39c1e8587eec,"📘 Um novo e-book propõe um uso equilibrado e responsável da Inteligência Artificial na educação. A obra defende a IA como tecnologia de apoio, com mediação humana, ética e foco pedagógico. 👉 Leia mais no site #Educação #InteligênciaArtificial #FormaçãoDocente"
12,1.0,ce813b15f242177c3b970b1a1c914cbaffc21b214956fc82261964f1b9c7b334,"""Inteligência artificial vai destruir o futuro da educação"" vídeo do YouTube do canal Átila Iamarino"
13,1.0,8f5c76debff7384ead53bd69dc8ee2f05b88551490e79da10f96028db7acc47c,"youtube.com/watch?v=C9S7... ""Inteligência artificial vai destruir o futuro da educação"" vídeo do YouTube do canal Átila Iamarino"
14,1.0,021027e4d267613b86fd1afb6df32fdde7b42cc852a574a885347bd4fc481bb7,"Notícia da <USER> ""Voices 2025: Especialistas debatem benefícios e desafios da inteligência artificial na área de educação digital"" Link sem paywall ⬇️"
15,0.0,632fd440b7dcb711e32b33faa126647228a59676875c1796db5c95e9315e668c,IFRS abre vagas na especialização gratuita em Inteligência Artificial na Educação infoeducacao.com.br/ifrs-abre-va...
16,1.0,8f64cdfbeca7d5d97bd0d0021be4fad350eee6dcbbc7a8db684340b1ab5080ee,"O dossiê Inteligência Artificial, Ética e Formação analisa os impactos da inteligência artificial na educação, ética e relações humanas, convidando à reflexão crítica sobre o futuro. Leia o press release do periódico Educação & Sociedade! humanas.blog.scielo.org/blog/2025/12..."
17,0.0,59c0fc0610366c3de92bdd1885a53e2b45a0154352e072ce3c4615d52caf0bf7,Politécnico de Tomar abre candidaturas para pós-graduação em Marketing Digital e Inteligência Artificial Leia maisribatejo.pt #MarketingDigital #InteligênciaArtificial #PósGraduação #Educação #TransformaçãoDigital
18,0.0,2eeb55ff882981022ee4194def1e4ef5f6ec74a9cd2df5a8af9be15d3059c054,"Dispõe sobre o aprimoramento das ações de fomento à escrita humana, ao pensamento crítico e à utilização ética da inteligência artificial no território nacional, e estabelece diretrizes para a educação, a pesquisa e a regulamentação tecnológica."
19,0.0,d4a96efbf4de2082380892e228bd48ce2c02d90fd899c3f2afea11ae6b7e2d91,A relação entre educação midiática e inteligência artificial está super bem explicada no e-book do EducaMídia! A publicação é didática e totalmente gratuita. Faça o download: educamidia.org.br/educacao-mid...
20,1.0,23dc9790c8bba30e9dd3fa1f215774943e67fd6652644f5558a0649a047b5f0d,👩🏼‍🎓🤖O uso da Inteligência Artificial nas salas de aula representa uma das mudanças mais impactantes na educação atual. Pedagoga aponta que educação terá que reinventar agenciabrasil.ebc.com.br/radioagencia... via <USER>
21,0.0,06dd25de50f43a787c47d1c71e63218d7ee9e54ee7f8f840bd98411c681b8d00,"UFAL abre 200 vagas na especialização gratuita, 100% online, em Inteligência Artificial para Políticas Públicas de Educação e Cultura infoeducacao.com.br/ufal-abre-20..."
22,1.0,54275257730aaf4d7ae762ed6317663477035544ac71b998b96366ed444f2dd8,Especialista alerta para riscos da Inteligência Artificial na educação <URL> Posted into Notícias <USER>
23,1.0,89eb83e8dcb494ed1265827380686482067c25436374de9d7be0af065a9b20b8,Já está disponível na minha Newsletter “STEAM Education Matters” o artigo Inteligência Artificial na Educação: Entre o Potencial e o Medo. Uma reflexão sobre os desafios e possibilidades da IA no ambiente educacional. 😉👇 <URL>
24,1.0,a5670ac7f380086e11a0462bbff7f130eddc1e02334fc6e718bb95d0a7b2956e,"Como a inteligência artificial está mudando a educação financeira no Brasil, segundo Nathalia Arcuri, Marilia Fontes e Nath Finanças […]"
25,1.0,4678145637a082bf2eed2af994231269b529c21b89c29d3ab0c0d997de99ee5a,Politécnico de Tomar integra programa nacional da Google para formar estudantes em Inteligência Artificial Leia maisribatejo.pt #InteligênciaArtificial #PolitécnicodeTomar #Google #Educação #FormaçãoAcadêmica
26,1.0,3f61b0f0901acedd5d259e5eb534f8bf959309027d11932fc2ffc2e2b3326d83,"O relatório “Impactos setoriais da Inteligência Artificial” mapeia os principais debates sobre IA em cultura, educação e direitos de crianças e adolescentes. Na cultura, a complexidade desse cenário desafia a diversidade cultural, a linguística e a própria noção de autoria humana. 👇🏼"
27,1.0,6e240f3d89bf6edcf9a2887e7e39421832822b101ad296b83df5859e25ab7a96,"😲 Militantes de Esquerda: O ""aulão"" de Inteligência Artificial (IA), que reuniu cerca de 30 mil alunos da rede estadual de educação no Mineirão, foi um fracasso completo. ""Zema não investe na educação, as escolas estão sucateadas, paga mal professores, mas resolve fazer um 'super aulão'..."
28,1.0,573604da546daba68a8353d63b5a70737be39f2ac91907d62f566765a1e485c2,"Burrice Natural do governo cria tumulto em aulão de Inteligência Artificial no Mineirão Deputada cobra apuração rigorosa e denuncia uso da educação para marketing político em Minas, enquanto escolas enfrentam carências graves ometropolitano.com.br/burrice-natu..."
29,1.0,77a64184ddd002e4809906505652e759e07346c7674da186704351378f860fea,"""A Sociedade Brasileira de Computação e o Seminário INOVA IA 2025 convidam você para dois dias de diálogos essenciais sobre o uso responsável da Inteligência Artificial na educação e na pesquisa."" Um dos patrocinadores é a Meta. Vocês acham OK? <URL>"
30,0.0,1c94f9c15970a5b2be051e5226dcbd08f40a76ad3b9214c933aab70ab0cea6bd,"Qual a relação entre educação midiática e inteligência artificial? Descubra nesse e-book gratuito do EducaMídia, nosso programa de educação midiática! Baixe agora: educamidia.org.br/educacao-mid..."
31,0.0,dc1c66609276a8d3c0d9c2ef96d9268253f600260f9225378276dbacb55408c6,"📣 Vibe Coding: A revolução da programação assistida por inteligência artificial / TIC, Educação e Web _x000D_ 📌 #VibeCoding_x000D_ 🔗 Acesse em: <URL>"
32,1.0,bcdc1d5f9ae9d5d4b1106ab20d4db35bc12a9a30dad33e3120ab2cab989f9df5,Ministro da Educação considera erro não usar inteligência artificial nas escolas
33,1.0,46905f3705d9db75a5403991b8d35c8b1b8cd5ae49d004114e06097080582f81,"O futuro precisa incluir todo mundo. 💡🤖 A inteligência artificial pode transformar a educação, gerar novas oportunidades e preparar a juventude pro trabalho do amanhã, mas só se o acesso for pra todos e todas."
34,0.0,8f4fb38ca977f7d3dffaf01d3d69609722bcc2a31f36f57880285da28c4f3f2b,"Na pauta: educação, saúde, inovação, inteligência artificial, comércio e combate ao crime organizado. E tudo isso com objetivos em comum: fortalecer laços, promover desenvolvimento e pensar o futuro juntos. 💬✨ 📲 Digital/PR"
