item_id,acceptance_3,intensity_3,applicability_score,text_hash,text
1,1.0,1.0,1,a2414c89271b6ce3426e35f4a8e2e6644b82ee721a7decfb3cb4d2dfb2333d0d,"Mafalda Rebordão, economista especializada em inteligência artificial, defende a educação como antídoto para o mau uso da tecnologia. Em Portugal, “é necessário mais risco”, diz."
2,1.0,1.0,1,bafba9396bcd6c025dc26934d29ee9ffa12f0095be1733a38ec1831df0284c6e,"Tumo: uma educação neoliberal Um dos aspetos mais interessantes que começa a perceber-se em relação à utilização da Inteligência Artificial na educação é que nos permite conceber dinâmicas pedagógicas ou modelos de aprendizagem muito inovadores e muito envolventes. O que sabemos, seguramente há…"
7,-1.0,2.0,1,f3b0d6ec069e832365921eb736504a5703a0cfedb86f84fed99cc9ba731afc9b,"Propagando do Ministério da Educação é de uma indigência mental e intelectual sem precedente... Anunciando a dona nete nas escolas, uma colega incauta anuncia que faz um curso (EAD?) de ""inteligência artificial"". Será na Uni... ? Que miséria moral, espiritual, intelectual, metafísica e... política."
9,1.0,2.0,1,beb7ce3af7e77ad531da7f091f06fe1435103348ee0535445ab6afc983a2947a,Sinceramente a gente precisa urgentemente de educação sobre inteligencia artificial. Sobre como é uma coisa que sempre tivemos uma paixão nativa e como estamos num ponto ridículo de pavor causado por um bando de bilionário que só fala bosta. (Tô meio Atilla na pandemia mode com tudo isso).
10,0.0,0.0,1,36ff97d20b63ac08a041cc71c8397b929a39447a921a3686144eb3e0eacf8d18,"📢 Internacional da Educação lança pesquisa sobre impactos da Inteligência Artificial na educação pública A Campanha Nacional pelo Direito à Educação apoia a iniciativa da pesquisa. 🔗 Acesse e responda à pesquisa: mla.bs/291c6752 🗣️ Responda, compartilhe e participe!"
11,1.0,1.0,1,e2eae9abf8b90badf46fe34bc10b54d101983a900f2680167c4b39c1e8587eec,"📘 Um novo e-book propõe um uso equilibrado e responsável da Inteligência Artificial na educação. A obra defende a IA como tecnologia de apoio, com mediação humana, ética e foco pedagógico. 👉 Leia mais no site #Educação #InteligênciaArtificial #FormaçãoDocente"
12,-1.0,2.0,1,ce813b15f242177c3b970b1a1c914cbaffc21b214956fc82261964f1b9c7b334,"""Inteligência artificial vai destruir o futuro da educação"" vídeo do YouTube do canal Átila Iamarino"
13,-1.0,2.0,1,8f5c76debff7384ead53bd69dc8ee2f05b88551490e79da10f96028db7acc47c,"youtube.com/watch?v=C9S7... ""Inteligência artificial vai destruir o futuro da educação"" vídeo do YouTube do canal Átila Iamarino"
20,1.0,1.0,1,23dc9790c8bba30e9dd3fa1f215774943e67fd6652644f5558a0649a047b5f0d,👩🏼‍🎓🤖O uso da Inteligência Artificial nas salas de aula representa uma das mudanças mais impactantes na educação atual. Pedagoga aponta que educação terá que reinventar agenciabrasil.ebc.com.br/radioagencia... via <USER>
22,-1.0,1.0,1,54275257730aaf4d7ae762ed6317663477035544ac71b998b96366ed444f2dd8,Especialista alerta para riscos da Inteligência Artificial na educação <URL> Posted into Notícias <USER>
