task,regime,n_mean,n_std,soft_cross_entropy_mean,soft_cross_entropy_std,multiclass_brier_mean,multiclass_brier_std,expected_human_label_probability_mean,expected_human_label_probability_std,a1_n_mean,a1_n_std,a1_accuracy_mean,a1_accuracy_std,a1_balanced_accuracy_mean,a1_balanced_accuracy_std,a1_macro_f1_mean,a1_macro_f1_std,a1_weighted_f1_mean,a1_weighted_f1_std,a1_cohen_kappa_mean,a1_cohen_kappa_std,a1_quadratic_weighted_kappa_mean,a1_quadratic_weighted_kappa_std,a1_mae_mean,a1_mae_std,a2_n_mean,a2_n_std,a2_accuracy_mean,a2_accuracy_std,a2_balanced_accuracy_mean,a2_balanced_accuracy_std,a2_macro_f1_mean,a2_macro_f1_std,a2_weighted_f1_mean,a2_weighted_f1_std,a2_cohen_kappa_mean,a2_cohen_kappa_std,a2_quadratic_weighted_kappa_mean,a2_quadratic_weighted_kappa_std,a2_mae_mean,a2_mae_std,consensus_soft_cross_entropy_mean,consensus_soft_cross_entropy_std,consensus_multiclass_brier_mean,consensus_multiclass_brier_std,consensus_expected_human_label_probability_mean,consensus_expected_human_label_probability_std,disagreement_soft_cross_entropy_mean,disagreement_soft_cross_entropy_std,disagreement_multiclass_brier_mean,disagreement_multiclass_brier_std,disagreement_expected_human_label_probability_mean,disagreement_expected_human_label_probability_std,annotator_mean_macro_f1_mean,annotator_mean_macro_f1_std,annotator_mean_quadratic_weighted_kappa_mean,annotator_mean_quadratic_weighted_kappa_std,annotator_mean_mae_mean,annotator_mean_mae_std
acceptance_3,soft_dual_unweighted,734.0,0.0,0.746443401436919,0.005804409267558067,0.3123317752733715,0.0034158356458325856,0.5457631086123949,0.0021680835294822774,734.0,0.0,0.6793823796548591,0.0020810970458473486,0.6373973877603415,0.002748061742150375,0.6377033245396135,0.0026230053807793593,0.6618083786366681,0.0021731492398269128,0.4893379814086852,0.003421262247267552,0.5593507605097393,0.00484925604648348,0.4196185286103542,0.0036045658188891124,734.0,0.0,0.7379654859218893,0.007503502108019218,0.6705306116005177,0.011522138521058732,0.6777900289971385,0.01133962243820247,0.7331610425456606,0.00843603621911062,0.555363433595772,0.013467147483396823,0.6394284164700402,0.013995509736329508,0.351952770208901,0.01221101694800069,0.6387536269838812,0.005408465489993534,0.3485744338641299,0.0037896926499497515,0.5911475337818386,0.0023213817653126565,1.1236879487540021,0.009907174398554014,0.185371296406359,0.004646945363838684,0.38677840449121476,0.0017790957316342689,0.6577466767683761,0.006637696144148682,0.5993895884898898,0.009307269940276208,0.3857856494096276,0.007865807482147526
acceptance_3,consensus_only_balanced,734.0,0.0,0.7553782347221517,0.005351240949418982,0.31799148184208387,0.00421089338692883,0.535686501362988,0.002690281826857437,734.0,0.0,0.6811989100817438,0.005938554418992723,0.646913021618904,0.006842804164737431,0.6490233963913,0.0070798379294930505,0.6717827503114537,0.005822193771211709,0.4978711584956832,0.009064253811522474,0.5399341174722138,0.008974091712401551,0.42597638510445046,0.007503502108019199,734.0,0.0,0.7202543142597638,0.007503502108019237,0.6713397114079127,0.011566895383371661,0.670155085784636,0.011630852439527568,0.7215713078784488,0.007259133130735997,0.5367027329516444,0.011881862581157723,0.62036158316766,0.00716371331315568,0.37284287011807443,0.006991282615050237,0.655473166493237,0.006562482225296649,0.3590025959163725,0.005466282614337946,0.5774359823823129,0.003358395350513481,1.1053524307878588,0.005114083638507257,0.17432678161865525,0.0027236727364208357,0.3894352519026531,0.0006544814078466318,0.6595892410879679,0.00789359175436619,0.5801478503199369,0.0080686950531493,0.3994096276112625,0.006857251984805391
acceptance_3,soft_dual_balanced,734.0,0.0,0.7619387936162725,0.006014879469616708,0.32349897877038275,0.0036328277148668224,0.5228741790843584,0.0025218135729906254,734.0,0.0,0.6857402361489555,0.0069912826150502014,0.6532847683536044,0.008370666920891553,0.6557062912180714,0.00887651126621559,0.6785128383436675,0.007433452666112835,0.506777250833583,0.010985153832195782,0.5486699194625877,0.008954860286237959,0.416439600363306,0.009273650252798417,734.0,0.0,0.7170753860127158,0.005157954900817719,0.6752391777967226,0.008288339490385467,0.6701456036378328,0.007781496222760172,0.721295976378676,0.005446698976336376,0.5363313700203768,0.008827734138796228,0.6293306258929504,0.00897476412472129,0.3687556766575841,0.008212144105370172,0.6726772932998394,0.00578901515322178,0.3709144146806682,0.004204605108207179,0.5600555733782392,0.0028054901549357946,1.0746278530069673,0.009275721829401421,0.15739950696195973,0.004490196733641266,0.3926252456990463,0.0018319966581101456,0.6629259474279521,0.006871008891030271,0.589000272677769,0.00847759109963093,0.39259763851044505,0.007982922720820617
acceptance_3,annotator_2_balanced,734.0,0.0,0.7638882332826507,0.005119043314979523,0.32474586442000025,0.003493053003108719,0.5359222396264388,0.002709133318138993,734.0,0.0,0.6507720254314259,0.007865807482147486,0.6142867687173069,0.01012372129870777,0.6072915173010341,0.011844035213146531,0.6349511015532353,0.010067967502500982,0.4513092914361872,0.012946661320273703,0.5244374100488202,0.007254043485130556,0.46366939146230707,0.009273650252798417,734.0,0.0,0.7325158946412352,0.004784583902294579,0.6746471535474093,0.012185947353945667,0.6768980968748893,0.011447562714379012,0.7295692324243567,0.006173403271981777,0.5529050015516553,0.009749913920588361,0.6278389028857752,0.0064315369897354055,0.36966394187102636,0.0047845839022946065,0.6605418268873295,0.005282349246315403,0.36410096641838957,0.004571021456914625,0.5773891892209665,0.0033416743228319094,1.1259176691828248,0.00749291338705403,0.18688228625386358,0.00306281856213215,0.3906607168137067,0.0010737278981322934,0.6420948070879618,0.011321829212949058,0.5761381564672977,0.0063860910723736895,0.4166666666666667,0.006991282615050233
acceptance_3,annotator_1_balanced,734.0,0.0,0.7789458975344564,0.0062818024620702245,0.3357167165268813,0.0037714806353735947,0.5169306012598883,0.002500827305410468,734.0,0.0,0.698455949137148,0.00832438818338937,0.666635110126975,0.009798517391930883,0.670597871810417,0.010323096617375004,0.6926463664922506,0.008798228672304367,0.5270753727349163,0.01309148274494401,0.5585756750473952,0.005190800566735992,0.39554950045413256,0.007503502108019226,734.0,0.0,0.6920980926430517,0.004912195198179802,0.6555879195478513,0.004779881237240256,0.644448964732636,0.005611888331937412,0.6997371882386584,0.004658614792402294,0.5018572486534034,0.007020537198110541,0.6054600747863671,0.008808532300581175,0.38964577656675753,0.007079226733932738,0.6920137408222997,0.00661097444659362,0.38548216546979,0.004394728617779549,0.5523497689833606,0.0025546292389345094,1.083475109084404,0.007899930171656704,0.16138499047534224,0.003473698959489611,0.3928548664739819,0.002375899030810089,0.6575234182715265,0.007110740962739432,0.5820178749168811,0.006994579129320389,0.3925976385104451,0.006991282615050237
acceptance_3,hard_compromise_corrected,734.0,0.0,0.7863606978868304,0.0058851654387210165,0.3404382862495466,0.003962819497298413,0.5163547209392313,0.0026287224841312685,734.0,0.0,0.6966394187102635,0.011587057967459667,0.6645038135275932,0.013192283114415344,0.6674631722475973,0.014351451952694322,0.6898937747645145,0.012304416914646914,0.5244128486455709,0.01804216825919986,0.5542115503608526,0.016803730158021373,0.38873751135331513,0.013232336316379198,734.0,0.0,0.6752951861943687,0.011012130475006465,0.6496084746297875,0.013411837783166054,0.6312950165925753,0.013922520407837684,0.686796368442943,0.010475870446668277,0.48243289692531616,0.016351822630005234,0.6067915248941042,0.009159844652126325,0.391008174386921,0.010285877977208105,0.7031592809869904,0.006382299407849403,0.39227680816689076,0.004728546812919232,0.5506459342639137,0.00296834013392205,1.0778208761065151,0.004229666552912047,0.1588444456679302,0.0013237724306268978,0.3962302865319087,0.0014445442386636117,0.6493790944200863,0.01405790097735965,0.5805015376274784,0.01269425376919154,0.3898728428701181,0.01174615545538382
intensity_3,soft_dual_unweighted,734.0,0.0,0.8447835359198527,0.005987478398216486,0.3298323899361353,0.004368052623268438,0.47206917140983,0.0019733181792909397,734.0,0.0,0.6194368755676657,0.005672114439962271,0.4553611062860672,0.011761011698664909,0.4610671100735906,0.016867926408232616,0.5641141563918334,0.009504659000826783,0.23320813854577105,0.014578422038227071,0.322300915579887,0.02443349276347231,0.3869209809264305,0.007209131637778164,734.0,0.0,0.5812897366030881,0.0034286259924026902,0.4873447828288098,0.005839897000367507,0.4675331234232934,0.007247309995896068,0.506720897587322,0.006326463714157078,0.19368588770112502,0.009532519292774174,0.30976593956812687,0.009162578656575087,0.42688465031789286,0.0015731614964294893,0.766141853836889,0.007679410798627026,0.4592311143588527,0.005557383316877433,0.5005453388658444,0.0028873422258300324,0.9783587459284157,0.004012826860625232,0.11004485065931384,0.0029045201050261643,0.42370156345145266,0.0006622912167191694,0.464300116748442,0.011380064118965503,0.31603342757400693,0.016752436514029405,0.4069028156221617,0.0041621940916946355
intensity_3,hard_compromise_corrected,734.0,0.0,0.8473033289573714,0.007136119093441383,0.329142177200882,0.004646049388704178,0.47584329470614906,0.002588852597834163,734.0,0.0,0.6221616712079928,0.01309131272061722,0.49094500093284177,0.02109908552575506,0.5071939523209339,0.024313084253397926,0.5922223034868778,0.016872979556756294,0.2766718565852974,0.03009288322335293,0.3827300961763494,0.03476868491119496,0.38964577656675753,0.012996446885789463,734.0,0.0,0.584014532243415,0.0055060652375032645,0.5257328208502522,0.01057810636127934,0.5076166945566949,0.011907285481475292,0.5370273985663873,0.010837034624339511,0.23465305021972152,0.014791084841251733,0.38001331697204677,0.028488681753328377,0.42688465031789286,0.007503502108019199,0.7600756525097349,0.009919620953637952,0.4523654578495739,0.006617325477904542,0.5067898311482587,0.0040080431650461055,0.995462102923578,0.0032941687572904783,0.11984381080494215,0.0020326150313453376,0.42327969236697766,0.00036514178251637617,0.5074053234388144,0.01797275416094184,0.3813717065741981,0.03162828886860968,0.4082652134423252,0.010225549726791724
intensity_3,consensus_only_balanced,734.0,0.0,0.8704914397597648,0.005978838140942621,0.3408141625661621,0.004181455219317729,0.4466293684019656,0.0025555253361289184,734.0,0.0,0.5926430517711171,0.008287142411850437,0.5206267946482758,0.00807375467353022,0.5289323057211651,0.00881748563013885,0.5919164610050994,0.008166599738240125,0.2866271731967975,0.012706844514118314,0.42724061883584646,0.020103983754602945,0.4282470481380563,0.011012130475006479,734.0,0.0,0.5740236148955495,0.006991282615050222,0.5666277128106882,0.00900959985697554,0.5399224452853544,0.007896681537278558,0.560133551940007,0.008380457655237981,0.2706334256755447,0.01432749461445629,0.43581806130789147,0.019530409534557563,0.4455040871934605,0.009438968978577003,0.8050250161620038,0.0082970038982571,0.4789948451413106,0.005789995265042694,0.47158807256843316,0.003683142904260721,0.9816880857236091,0.0025749309666617255,0.1061102090745497,0.0020066484499563744,0.40423627529568606,0.0007540669363573297,0.5344273755032597,0.007799869748474709,0.43152934007186894,0.0195135987370069,0.43687556766575836,0.009665666055310043
intensity_3,soft_dual_balanced,734.0,0.0,0.8836407777333471,0.0042215476311012,0.35428265800432235,0.003261745647526945,0.43863624486671543,0.002001042306897193,734.0,0.0,0.5590372388737511,0.007982922720820617,0.5672206353188926,0.009369591512147923,0.5396436105682881,0.007411650624444737,0.5721344204743488,0.007548268778517942,0.3018815227299054,0.012351899934854273,0.4727048597881025,0.02329399552534306,0.4713896457765667,0.010813697456667251,734.0,0.0,0.567211625794732,0.0007865807482147766,0.6160317268483082,0.005767880907530606,0.5612010704367757,0.0018786696277532937,0.5696263867935845,0.0010874852703862564,0.315522954514004,0.003410349485298939,0.5041790179112066,0.010986972968311538,0.4568574023614896,0.0007865807482147325,0.8275571957181199,0.005927036897204502,0.4995716318560111,0.004324599631716742,0.46011744544276567,0.0029232516085047297,0.9789003913033286,0.0025000923875829997,0.10750506271211557,0.002112543029993628,0.40214979388827726,0.0005717681048785425,0.5504223405025318,0.003939566158498187,0.4884419388496546,0.017111572013012805,0.4641235240690282,0.005672114439962205
