task,family,model,input,macro_f1_mean,macro_f1_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,mae_mean,mae_std
acceptance_3,transformer,bertimbau_weighted,raw,0.7462517835034105,0.012449556656821384,0.6691428335998356,0.013369371319028683,0.3088607594936709,0.015810121514932673
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,0.7460243200168258,0.009310761154123872,0.6285616978076577,0.016249917050506102,0.3341772151898734,0.01103518719883714
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0.7438270417112415,0.00361629050406465,0.6157527082711611,0.00656074997001081,0.3451476793248945,0.0038671524851948027
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,0.7305092445589428,0.014872102251927605,0.6228699594155503,0.010079680556187475,0.350210970464135,0.012488311043838603
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.6853069929815437,0.021969113316590867,0.5565711414189841,0.01526461584110985,0.41181434599156114,0.020305838675976306
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.684622786804018,0.016029566391614115,0.5721083592253584,0.009712983279017672,0.4016877637130802,0.0077343049703896116
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.6796694345648443,0.009177802051519334,0.559276123708126,0.005158538269697341,0.4084388185654008,0.008138101908010951
acceptance_3,baseline,stratified_random_baseline,none,0.32810305645727567,0.034247657308842584,-0.010713122295894792,0.07802554699020024,0.9240506329113924,0.07020468163980781
acceptance_3,baseline,majority_baseline,none,0.22184684684684686,0.0,0.0,0.0,0.7924050632911394,0.0
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,0.5609285490274599,0.00974817469950664,0.6245229593315048,0.048501930248852666,0.5341530054644809,0.04514402087939432
acceptance_5,tfidf,tfidf_word_logreg_raw,raw,0.556451515818695,0.017985162225604864,0.6137774836276398,0.04934387773536228,0.5532786885245902,0.03354652775357559
acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.524972548580995,0.0006374033380948264,0.586816655020274,0.006346149705066204,0.6448087431693988,0.01656332739478434
acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.517986352598384,0.014638255300077509,0.5842258394325917,0.029453365960181818,0.633879781420765,0.036961063547728636
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,0.5142931039054195,0.02078471613333525,0.6396008194788149,0.023006786253455595,0.5669398907103825,0.028785939215444672
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.4953730676763515,0.017312784321683854,0.5921135637300545,0.004313104405156085,0.6270491803278688,0.008196721311475419
acceptance_5,baseline,stratified_random_baseline,none,0.1917497886652804,0.028950729999833308,-0.04362687118276831,0.04505484884923642,1.3292349726775956,0.05442236144000564
acceptance_5,baseline,majority_baseline,none,0.10061349693251535,0.0,0.0,0.0,0.9262295081967213,0.0
applicability,transformer,bertimbau_weighted,raw,0.9034704353824766,0.003476438865121361,,,,
applicability,tfidf,tfidf_word_linearsvc_raw,raw,0.8720812465409039,0.0010313597353311707,,,,
applicability,tfidf,tfidf_word_logreg_raw,raw,0.8607258393854026,0.002488661258873607,,,,
applicability,tfidf,tfidf_char_logreg_raw,raw,0.8587329600019697,0.0006769582985447676,,,,
applicability,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.8580921962858176,0.004085787779748715,,,,
applicability,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.8567475551822716,0.001580711664540755,,,,
applicability,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.8557700289892409,0.0014084461336922628,,,,
applicability,baseline,stratified_random_baseline,none,0.49567823733966404,0.006716409252601363,,,,
applicability,baseline,majority_baseline,none,0.33761061946902654,0.0,,,,
intensity_3,transformer,bertimbau_weighted,raw,0.6643633132322196,0.008644669574904338,0.6587137105037919,0.0069823396517442425,0.3459915611814346,0.013943216575407836
intensity_3,tfidf,tfidf_char_logreg_raw,raw,0.6124873814410668,0.008832892567660339,0.5074651203793259,0.017218268536483644,0.40759493670886077,0.010126582278481011
intensity_3,tfidf,tfidf_word_linearsvc_raw,raw,0.608935970703401,0.009505741078306762,0.5053774779290311,0.030012408700693813,0.3814345991561181,0.006371168299806523
intensity_3,tfidf,tfidf_word_logreg_raw,raw,0.6050529842651563,0.004260937985609291,0.5137931946523114,0.0124697793147881,0.4084388185654008,0.0063711682998065285
intensity_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.6026532864753215,0.007168387551436693,0.4936136587880189,0.019419248001743224,0.41687763713080167,0.014395546083740073
intensity_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.5896483619507408,0.011880009767987322,0.48083650728737,0.020069218372894774,0.4278481012658228,0.014095605981848162
intensity_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.5734249045725526,0.0034928758298436334,0.4342170238920713,0.016104209474674263,0.42953586497890295,0.0029232925022259207
intensity_3,baseline,stratified_random_baseline,none,0.3260583328834856,0.025152258579455893,-0.012424557888269572,0.0820654808138187,0.7223628691983123,0.04937249781032937
