task,family,model,input,label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_per_seed
acceptance_3,transformer,bertimbau_weighted,raw,-1,0.8359388152159287,0.005796927607130466,0.9137055837563451,0.00879213607902978,0.8730742054174548,0.005218523486838807,197
acceptance_3,transformer,bertimbau_weighted,raw,0,0.7216017316017315,0.02006963944533517,0.6506024096385542,0.06024096385542166,0.6826164169833809,0.024447562778136728,83
acceptance_3,transformer,bertimbau_weighted,raw,1,0.7184605750610423,0.03852298071078199,0.6521739130434782,0.015061311370164088,0.6830647281093953,0.0097894262073669,115
acceptance_3,baseline,majority_baseline,none,-1,0.49873417721518987,0.0,1.0,0.0,0.6655405405405406,0.0,197
acceptance_3,baseline,majority_baseline,none,0,0.0,0.0,0.0,0.0,0.0,0.0,83
acceptance_3,baseline,majority_baseline,none,1,0.0,0.0,0.0,0.0,0.0,0.0,115
acceptance_3,baseline,stratified_random_baseline,none,-1,0.48545789722260313,0.04084957784864386,0.4771573604060914,0.05275281647417897,0.48120550963001235,0.046911206752782264,197
acceptance_3,baseline,stratified_random_baseline,none,0,0.20270326893448595,0.023146490845043118,0.20883534136546186,0.03032062022197087,0.20567271173539722,0.02646903140613749,83
acceptance_3,baseline,stratified_random_baseline,none,1,0.29662557294136244,0.04064271860743354,0.2985507246376811,0.026565656202642562,0.29743094800641745,0.03359922102772636,115
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,-1,0.8233684655851082,0.00598192427974147,0.8595600676818952,0.005861424052686558,0.8410608513419479,0.004157029423310356,197
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,0,0.7218629276114022,0.013132482462358881,0.6265060240963854,0.048192771084337366,0.6703563941299789,0.03235941245505956,83
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,1,0.6735504014272969,0.020425705609255534,0.6869565217391305,0.015061311370164176,0.6801104882049017,0.015754064465387112,115
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,0.799728467894747,0.005473327953302207,0.8510998307952623,0.010566832484599636,0.8245761510907066,0.0043639720247936565,197
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,0.6785304247990815,0.046338544364203316,0.5421686746987951,0.03614457831325302,0.6027027027027027,0.040272991020007316,83
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,0.6161761792695779,0.00550072265220049,0.6376811594202899,0.027952610901428913,0.6265895066186447,0.0153855773296991,115
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,-1,0.8184308620051862,0.01953571843391497,0.8900169204737732,0.005861424052686582,0.8525938435538091,0.007883886199591305,197
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,0,0.7473110096397768,0.029548264284661445,0.6746987951807228,0.03187652182005531,0.708765546742986,0.02358240284748057,83
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,1,0.7066680233346899,0.00425097913338354,0.6492753623188405,0.010040874246776138,0.6767135697536828,0.004513562227177565,115
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,-1,0.7905140531159804,0.007710440729525569,0.8426395939086294,0.008792136079029804,0.8157235960245025,0.006461036841289902,197
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,0.6425936806371589,0.033441599338795605,0.5742971887550201,0.025080313246579965,0.6059684154311378,0.01747846202157852,83
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,0.6295708799465687,0.009111498406892701,0.6057971014492755,0.021883578073248606,0.6173162922388928,0.01293796529485366,115
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,-1,0.8303708382136472,0.00632494676829085,0.8612521150592217,0.002930712026343303,0.8455217415518277,0.003897829855717586,197
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0,0.7310524198452572,0.003498521992763657,0.6987951807228915,0.02409638554216864,0.7144407033295922,0.013707344755620974,83
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,1,0.682615629984051,0.0013812207396881391,0.6608695652173914,0.015061311370164143,0.6715186802523047,0.008403934049339588,115
