n,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,linear_weighted_kappa,quadratic_weighted_kappa,mae,task,family,model,input,seed,evaluation_unit
395,0.49873417721518987,0.3333333333333333,0.22184684684684686,0.3319278138898392,0.0,0.0,0.0,0.7924050632911392,acceptance_3,baseline,majority_baseline,none,7,all OOF predictions pooled once per item within seed
395,0.49873417721518987,0.3333333333333333,0.22184684684684686,0.3319278138898392,0.0,0.0,0.0,0.7924050632911392,acceptance_3,baseline,majority_baseline,none,42,all OOF predictions pooled once per item within seed
395,0.49873417721518987,0.3333333333333333,0.22184684684684686,0.3319278138898392,0.0,0.0,0.0,0.7924050632911392,acceptance_3,baseline,majority_baseline,none,2026,all OOF predictions pooled once per item within seed
395,0.3240506329113924,0.28884392125996816,0.2887127592792101,0.326274005799111,-0.07667884925577328,-0.08984828372264353,-0.10079193053746915,1.0050632911392405,acceptance_3,baseline,stratified_random_baseline,none,7,all OOF predictions pooled once per item within seed
395,0.389873417721519,0.3447242069137286,0.3447641652786593,0.38964153796313855,0.01881055452484026,0.028105843315898937,0.035856710671066994,0.8860759493670886,acceptance_3,baseline,stratified_random_baseline,none,42,all OOF predictions pooled once per item within seed
395,0.3924050632911392,0.35097529823553764,0.35083224481395764,0.39349873085968784,0.02727328695438036,0.030264550264550327,0.03279585297871779,0.8810126582278481,acceptance_3,baseline,stratified_random_baseline,none,2026,all OOF predictions pooled once per item within seed
395,0.769620253164557,0.7386346090608296,0.7437987891418194,0.768159330586402,0.6264367816091954,0.625144986116481,0.6240840556330844,0.34177215189873417,acceptance_3,tfidf,tfidf_char_logreg_raw,raw,7,all OOF predictions pooled once per item within seed
395,0.7493670886075949,0.7065060950046046,0.7144453200245162,0.7464383331172091,0.5913280662151994,0.6029263933876913,0.6122382198952879,0.36455696202531646,acceptance_3,tfidf,tfidf_char_logreg_raw,raw,42,all OOF predictions pooled once per item within seed
395,0.7620253164556962,0.727881909451977,0.7332836245104929,0.7603993583524574,0.6140653583901546,0.6241096043774577,0.6322876027182789,0.34430379746835443,acceptance_3,tfidf,tfidf_char_logreg_raw,raw,2026,all OOF predictions pooled once per item within seed
395,0.7316455696202532,0.6862162399321408,0.6955531990102509,0.7278122877431307,0.5605491299145657,0.5618136883197125,0.5628316042039809,0.4,acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
395,0.7113924050632912,0.65994226298263,0.6662215239039274,0.706883060858831,0.5286001423725974,0.5522670025188916,0.571287945076395,0.41012658227848103,acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
