task,family,model,input,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,cohen_kappa_mean,cohen_kappa_std,linear_weighted_kappa_mean,linear_weighted_kappa_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,mae_mean,mae_std
acceptance_3,transformer,bertimbau_weighted,raw,0.7822784810126583,0.00912797791256701,0.7388273021461259,0.015738113607249703,0.7462517835034105,0.012449556656821384,0.777734746353012,0.009654208352883446,0.6436634889189078,0.016309793918533128,0.6576477420959077,0.014466115976104693,0.6691428335998356,0.013369371319028683,0.3088607594936709,0.015810121514932673
acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,0.7746835443037975,0.006698104584973683,0.7379970259911123,0.01158550179298681,0.7460243200168258,0.009310761154123872,0.7711660457758018,0.007819811305113623,0.6315436536766595,0.013014985858530486,0.6299015854276965,0.013083320297434094,0.6285616978076577,0.016249917050506102,0.3341772151898734,0.01103518719883714
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0.7687763713080168,0.0029232925022259766,0.7403056203331682,0.004960987273456213,0.7438270417112415,0.00361629050406465,0.7673190118761551,0.0030552895256079037,0.6256896624200955,0.005385122007594119,0.6202631750289193,0.004559758535610833,0.6157527082711611,0.00656074997001081,0.3451476793248945,0.0038671524851948027
acceptance_3,tfidf,tfidf_char_logreg_raw,raw,0.7603375527426159,0.010231523757790854,0.7243408711724704,0.016354344008182056,0.7305092445589428,0.014872102251927605,0.7583323406853562,0.011007036580808288,0.6106100687381831,0.017807575469120387,0.6173936612938766,0.012539712290893333,0.6228699594155503,0.010079680556187475,0.350210970464135,0.012488311043838603
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.7189873417721518,0.01660111018810638,0.6805711775225672,0.022773220525774233,0.6853069929815437,0.021969113316590867,0.7172537811952492,0.017265538526007467,0.5443861927478126,0.027909969879315003,0.5511308160181536,0.020887661273078905,0.5565711414189841,0.01526461584110985,0.41181434599156114,0.020305838675976306
acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.7240506329113924,0.01103518719883715,0.6769832216381158,0.014775094439696436,0.684622786804018,0.016029566391614115,0.7203129603806017,0.011657053619830455,0.549304820693764,0.017952949308555458,0.5619615024062471,0.009769245657438036,0.5721083592253584,0.009712983279017672,0.4016877637130802,0.0077343049703896116
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.7172995780590717,0.007734304970389578,0.6742446280376416,0.00798476771956885,0.6796694345648443,0.009177802051519334,0.7138843050761623,0.007324117472960455,0.5393966142716655,0.011542373469523937,0.5503132462058441,0.007798777162878193,0.559276123708126,0.005158538269697341,0.4084388185654008,0.008138101908010951
acceptance_3,baseline,stratified_random_baseline,none,0.36877637130801694,0.03875430380828703,0.3281811421364115,0.034210111741851484,0.32810305645727567,0.034247657308842584,0.36980475820731246,0.037748036878470934,-0.010198335925517554,0.05772909534657745,-0.010492630047398088,0.06873248745383555,-0.010713122295894792,0.07802554699020024,0.9240506329113924,0.07020468163980781
acceptance_3,baseline,majority_baseline,none,0.49873417721518987,0.0,0.3333333333333333,0.0,0.22184684684684686,0.0,0.3319278138898392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7924050632911394,0.0
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,0.6557377049180327,0.01084324307813357,0.5622172317294268,0.008255185158842977,0.5609285490274599,0.00974817469950664,0.6387868466353793,0.008219659813488748,0.5353739222629418,0.012771915706998427,0.5844383871718365,0.030291042292256574,0.6245229593315048,0.048501930248852666,0.5341530054644809,0.04514402087939432
acceptance_5,tfidf,tfidf_word_logreg_raw,raw,0.6557377049180327,0.0070985688834789805,0.5659756240204706,0.017723714956310536,0.556451515818695,0.017985162225604864,0.6391925417634047,0.00887219560676457,0.5383262171987632,0.010954726424071764,0.5807256774527346,0.028661462304284412,0.6137774836276398,0.04934387773536228,0.5532786885245902,0.03354652775357559
acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.5956284153005464,0.008531418030598852,0.5382908448604751,0.0006788426503493334,0.524972548580995,0.0006374033380948264,0.586783471569603,0.006735465498543201,0.4641745653027914,0.00995675522391745,0.5254380540246052,0.009974174497584774,0.586816655020274,0.006346149705066204,0.6448087431693988,0.01656332739478434
acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.587431693989071,0.018480531773864328,0.5204600728990972,0.015845797022956513,0.517986352598384,0.014638255300077509,0.574898045181212,0.014667754995457681,0.44556392615507273,0.02278114406804623,0.5111737258356326,0.0268925864687663,0.5842258394325917,0.029453365960181818,0.633879781420765,0.036961063547728636
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,0.6174863387978142,0.012520698620097937,0.5283553575253025,0.015711544740113974,0.5142931039054195,0.02078471613333525,0.5936724224233956,0.014759646515446576,0.4837469447916886,0.016495333050585686,0.5645403587025807,0.019278418309642022,0.6396008194788149,0.023006786253455595,0.5669398907103825,0.028785939215444672
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.5792349726775957,0.00853141803059891,0.5012712867748272,0.014211868333222858,0.4953730676763515,0.017312784321683854,0.5637948760706287,0.010443472850838187,0.43326440406277994,0.012084020442115716,0.5150421825926808,0.007576378166990487,0.5921135637300545,0.004313104405156085,0.6270491803278688,0.008196721311475419
acceptance_5,baseline,stratified_random_baseline,none,0.2418032786885246,0.02868852459016395,0.1922505074550708,0.027050835817844076,0.1917497886652804,0.028950729999833308,0.24017641555382543,0.0320721074509542,-0.009652156456193883,0.044805332204143095,-0.023722976848224813,0.04705152220728479,-0.04362687118276831,0.04505484884923642,1.3292349726775956,0.05442236144000564
acceptance_5,baseline,majority_baseline,none,0.3360655737704918,0.0,0.20000000000000004,0.0,0.10061349693251535,0.0,0.16906366287840693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262295081967213,0.0
applicability,transformer,bertimbau_weighted,raw,0.903584947673124,0.0034279234732443966,0.9045800731611795,0.003301466193689742,0.9034704353824766,0.003476438865121361,0.903406848912441,0.003491181532780058,0.8074957287206345,0.006794700388957229,,,,,,
applicability,tfidf,tfidf_word_linearsvc_raw,raw,0.8726341572032954,0.001020390936307188,0.8742347300142965,0.0010171150451809227,0.8720812465409039,0.0010313597353311707,0.8719184646508841,0.001033837506013856,0.7460100441790728,0.00203236871930082,,,,,,
applicability,tfidf,tfidf_word_logreg_raw,raw,0.8623914495657982,0.0024085178860815478,0.8648339469777863,0.0023771118874852592,0.8607258393854026,0.002488661258873607,0.8604308107909521,0.0024984064305385908,0.7260463508925658,0.00477741014190168,,,,,,
